timestamp,aruco_id
1728419784.2674816,[66]
1728419784.3000367,[66]
1728419784.3305967,[66]
1728419784.3666933,[66]
1728419784.3971999,[60 66]
1728419784.4267433,[60 66]
1728419784.451141,[60 66]
1728419784.4735422,[60 66]
1728419784.4968781,[60 66]
1728419784.520233,[60 66]
1728419784.546605,[66]
1728419784.5726423,[66]
1728419784.600626,[66]
1728419784.625659,[66]
1728419784.6514919,[66]
1728419784.6785212,[66]
1728419784.707438,[66]
1728419784.7373662,[66]
1728419784.770423,[60 66]
1728419784.8009474,[60 66]
1728419784.8283756,[66]
1728419784.8557703,[66]
1728419784.8796167,[66]
1728419784.9059844,[66]
1728419784.9338636,[60 66]
1728419784.9593008,[60 66]
1728419784.9847012,[60 66]
1728419785.008251,[60 66]
1728419785.0326529,[66]
1728419785.0580876,[66]
1728419785.0814471,[66]
1728419785.1054344,[66]
1728419785.12975,[54 66]
1728419785.15821,[60]
1728419785.185661,[60 66]
1728419785.211605,[60 66]
1728419785.237529,[60 66]
1728419785.2609086,[60 66]
1728419785.286804,[60 66]
1728419785.3102083,[60 66]
1728419785.3346517,[66]
1728419785.3599567,[66]
1728419785.382283,[60 66]
1728419785.4031277,[60 66]
1728419785.4265752,[66]
1728419785.449418,[66]
1728419785.4682217,[60 66]
1728419785.49062,[60 66]
1728419785.5194683,[60 66]
1728419785.5423017,[60 66]
1728419785.565201,[60 66]
1728419785.5870278,[60 66]
1728419785.6094632,[54 60 66]
1728419785.6338012,[54 60 66]
1728419785.6571887,[54 60 66]
1728419785.681601,[54 60 66]
1728419785.7024302,[54 60 66]
1728419785.7232082,[54 60 66]
1728419785.7435873,[54 66]
1728419785.7654347,[54 66]
1728419785.7882538,[54 60 66]
1728419785.810601,[54 60 66]
1728419785.8303976,[54 60 66]
1728419785.85275,[66]
1728419785.8746023,[54 66]
1728419785.8954258,[54 66]
1728419785.9136813,[54 66]
1728419785.9396176,[54 66]
1728419785.964641,[54 60 66]
1728419785.983441,[54 60 66]
1728419786.0022364,[54 66]
1728419786.02053,[54 66]
1728419786.0393715,[54 60 66]
1728419786.0556452,[54 60 66]
1728419786.075419,[60 66]
1728419786.0952413,[66]
1728419786.1171014,[66]
1728419786.1384535,[66]
1728419786.1608,[60 66]
1728419786.1856797,[60 66]
1728419786.2054713,[66]
1728419786.226818,[66]
1728419786.2476017,[60]
1728419786.2694397,[60]
1728419786.2871919,[66]
1728419786.3084586,[66]
1728419786.3618789,[66]
1728419786.3821752,[66]
1728419786.3988795,[66]
1728419786.437485,[66]
1728419786.5411735,[17]
1728419787.8503628,[37]
1728419788.129674,[37]
1728419790.5514803,[37]
1728419790.5672293,[37 37]
1728419791.487372,[37]
1728419792.1294813,[60]
1728419792.1513002,[60]
1728419792.1711068,[60]
1728419792.2336197,[53]
1728419792.2570431,[53]
1728419792.2815118,[53]
1728419792.3023267,[53]
1728419792.3242269,[53]
1728419792.3461375,[53]
1728419792.3674967,[53]
1728419792.3914294,[53]
1728419792.4142387,[53]
1728419792.4366107,[53]
1728419792.4574583,[53]
1728419792.4773,[53]
1728419792.7819586,[37]
1728419792.8871381,[28]
1728419794.0721366,[17]
1728419794.5671377,[90]
1728419794.5965452,[17]
1728419795.6038957,[85]
1728419796.39658,[17]
1728419796.4768066,[17]
1728419797.9146175,[37]
1728419798.5855598,[51 57 58 63 64 65 69 70 71]
1728419798.6073995,[51 57 58 63 64 65 69 70 71]
1728419799.7883732,[49 57 55]
1728419799.805561,[49 57 55 56]
1728419799.8233845,[50 49 57 58 56 55 63 64 65 62 69]
1728419799.844272,[50 49 57 58 55 64 65 63 62 69 71]
1728419799.8635945,[50 49 57 58 55 63 64 65 62 70 71]
1728419799.884319,[50 49 57 58 55 64 65 62 70 71]
1728419799.9046543,[50 49 57 58 56 55 64 63 62 65 61 70 69 71]
1728419799.9234931,[50 49 57 58 56 55 64 63 65 62 61 70 69]
1728419799.9433045,[50 57 58 56 55 64 62 63 65 61 70 66 69]
1728419799.9636176,[50 57 58 56 55 64 62 63 65 61 70 66 69]
1728419799.9833467,[50 49 57 59 58 56 55 63 64 65 62 61 68 71]
1728419800.0047164,[50 49 57 58 59 56 55 63 64 65 62 61 70 69 68 71]
1728419800.0277066,[50 49 57 58 59 56 55 63 64 62 65 61 70 69 68 71]
1728419800.0485327,[50 49 57 58 56 59 55 63 64 62 65 61 70 69 68 71]
1728419800.0703676,[51 49 50 58 57 56 59 55 63 64 62 65 61 69 70 68]
1728419800.09121,[51 50 49 57 56 59 58 55 63 64 62 65 61 69 70 68]
1728419800.1120462,[51 50 49 57 58 56 59 55 63 62 61 65 64 69 70 68]
1728419800.1323683,[51 50 49 57 58 56 59 55 63 62 61 65 64 69 70 68]
1728419800.1567643,[50 51 49 56 57 58 55 59 63 64 62 69 70 71]
1728419800.1795626,[50 51 49 56 57 58 55 59 63 64 62 61 69 70 71]
1728419800.204439,[51 50 49 57 56 55 58 59 63 62 64 61 65 70 68 69 71]
1728419800.22833,[51 50 49 57 56 58 55 59 63 62 64 61 65 70 69 68 71]
1728419800.2512667,[51 50 49 57 58 59 55 62 64 65]
1728419800.2747278,[51 50 49 57 58 59 55 64 65]
1728419800.294472,[59]
1728419800.3153203,[59]
1728419800.853486,[37]
1728419801.5221753,[17]
1728419802.2143874,[44]
1728419803.0345523,[24]
1728419803.05691,[24]
1728419804.368541,[69 70 68]
1728419804.3914237,[69 71 70]
1728419804.4117358,[69 70 71]
1728419804.4315271,[69 70 71]
1728419804.4543924,[62 70 69 71]
1728419804.4736965,[62 70 69 71]
1728419804.4934444,[62 70 68 69 71]
1728419804.5127387,[62 70 68 69 71]
1728419804.5325558,[62 69 70 71]
1728419804.5513687,[62 69 70 71]
1728419804.5711718,[62 69 68 70 71]
1728419804.5894663,[62 68 70 71]
1728419804.6107829,[63 62 69 68 70 71]
1728419804.6335893,[63 62 69 68 70 71]
1728419804.6574159,[63 62 69 70 68 71]
1728419804.6792014,[63 62 69 70 68 71]
1728419804.7086155,[63 62 70 69 68 71]
